leftSensor,rightSensor,leftSpeed,rightSpeed
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
854,900,23,32
832,900,18,32
813,900,14,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,851,32,22
900,794,32,10
900,785,32,8
900,792,32,9
900,756,32,2
900,750,32,0
900,766,32,4
900,785,32,8
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,872,32,27
900,867,32,25
900,838,32,19
900,777,32,6
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,776,32,6
900,874,32,27
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,853,32,22
900,796,32,10
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,802,32,12
900,890,32,30
900,882,32,29
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,839,32,19
900,748,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,793,32,10
900,857,32,23
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,848,32,21
900,777,32,6
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,853,32,22
900,839,32,19
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,820,32,15
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,813,32,14
900,848,32,21
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,840,32,20
900,756,32,2
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,768,32,4
900,822,32,16
900,850,32,22
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,849,32,22
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,765,32,4
900,805,32,12
900,829,32,17
900,884,32,29
900,900,32,32
900,884,32,29
900,874,32,27
900,848,32,21
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,765,32,4
900,865,32,25
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,853,32,22
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,806,32,12
900,865,32,25
900,886,32,30
900,900,32,32
900,900,32,32
900,858,32,24
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,768,32,4
900,822,32,16
900,864,32,25
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,839,32,19
900,766,32,4
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,765,32,4
900,827,32,17
900,865,32,25
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,840,32,20
900,781,32,7
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,813,32,14
900,887,32,30
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,867,32,25
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,809,32,13
900,834,32,18
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,848,32,21
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,790,32,9
900,841,32,20
900,840,32,20
900,893,32,31
900,900,32,32
900,900,32,32
900,900,32,32
900,868,32,26
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,778,32,6
900,788,32,9
900,826,32,17
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,810,32,13
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,785,32,8
900,852,32,22
900,891,32,31
900,900,32,32
900,856,32,23
900,849,32,22
900,836,32,19
900,755,32,2
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,752,32,1
900,802,32,12
900,849,32,22
900,852,32,22
900,843,32,20
900,850,32,22
900,848,32,21
900,800,32,11
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,764,32,3
900,798,32,11
900,835,32,19
900,876,32,27
900,899,32,32
900,900,32,32
900,877,32,28
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,797,32,11
900,902,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,900,32,32
900,832,32,18
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,764,32,3
900,801,32,11
900,843,32,20
900,823,32,16
900,837,32,19
900,818,32,15
900,820,32,15
900,775,32,6
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,759,32,2
900,803,32,12
900,814,32,14
900,836,32,19
900,832,32,18
900,765,32,4
900,750,32,0
900,752,32,1
900,750,32,0
900,753,32,1
900,778,32,6
900,764,32,3
900,775,32,6
900,798,32,11
900,767,32,4
900,766,32,4
900,750,32,0
900,782,32,7
900,784,32,8
900,769,32,5
900,799,32,11
900,819,32,15
900,812,32,14
900,750,32,0
900,750,32,0
900,779,32,7
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,769,32,5
900,788,32,9
900,797,32,11
900,796,32,10
900,788,32,9
900,776,32,6
900,770,32,5
900,762,32,3
900,769,32,5
900,790,32,9
900,820,32,15
900,850,32,22
900,879,32,28
900,859,32,24
900,822,32,16
900,753,32,1
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,750,32,0
900,753,32,1
900,787,32,8
900,809,32,13
900,822,32,16
900,848,32,21
